Timestep: 0, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 1, Current state: 2
[0.500587389003692, 0.499412610996308]
[0.5, 0.5]
Timestep: 2, Current state: 4
[0.5, 0.5]
[0.5, 0.5]
Timestep: 3, Current state: 5
[0.4760960483433117, 0.5239039516566883]
[0.5, 0.5]
Timestep: 4, Current state: 2
[0.4995542160760507, 0.5004457839239493]
[0.5, 0.5]
Timestep: 5, Current state: 1
[0.3764104846207267, 0.6235895153792734]
[0.5, 0.5]
Timestep: 6, Current state: 2
[0.49749933871217944, 0.5025006612878207]
[0.5, 0.5]
Timestep: 7, Current state: 2
[0.5758984754204626, 0.4241015245795375]
[0.5, 0.5]
Timestep: 8, Current state: 2
[0.6336430870985325, 0.36635691290146755]
[0.5, 0.5]
Timestep: 9, Current state: 2
[0.6774809681856224, 0.3225190318143776]
[0.5, 0.5]
Timestep: 10, Current state: 2
[0.8176221077904622, 0.18237789220953793]
[0.5, 0.5]
Timestep: 11, Current state: 0
[0.7326384359232693, 0.26736156407673073]
[0.5, 0.5]
Timestep: 12, Current state: 2
[0.7039318180634798, 0.2960681819365201]
[0.5, 0.5]
Timestep: 13, Current state: 2
[0.7335253583312403, 0.2664746416687596]
[0.5, 0.5]
Timestep: 14, Current state: 2
[0.7270734729124855, 0.2729265270875146]
[0.5, 0.5]
Timestep: 15, Current state: 2
[0.7495283682101648, 0.2504716317898352]
[0.5, 0.5]
Timestep: 16, Current state: 2
[0.7632131748296331, 0.23678682517036687]
[0.5, 0.5]
Timestep: 17, Current state: 2
[0.7561353581361179, 0.24386464186388201]
[0.5, 0.5]
Timestep: 18, Current state: 2
[0.6719827812840246, 0.32801721871597544]
[0.5, 0.5]
Timestep: 19, Current state: 5
[0.49531246192995365, 0.5046875380700464]
[0.5, 0.5]
Timestep: 20, Current state: 2
[0.5986918444451639, 0.4013081555548361]
[0.5, 0.5]
Timestep: 21, Current state: 2
[0.666857198179852, 0.33314280182014794]
[0.5, 0.5]
Timestep: 22, Current state: 2
[0.8575041784182714, 0.14249582158172858]
[0.5, 0.5]
Timestep: 23, Current state: 0
[0.7399026437688921, 0.2600973562311079]
[0.5, 0.5]
Timestep: 24, Current state: 2
[0.8700044145169744, 0.1299955854830256]
[0.5, 0.5]
Timestep: 25, Current state: 0
[0.3359981725385062, 0.6640018274614937]
[0.5, 0.5]
Timestep: 26, Current state: 4
[0.7409619393338743, 0.25903806066612567]
[0.5, 0.5]
Timestep: 27, Current state: 2
[0.7126644909316922, 0.2873355090683079]
[0.5, 0.5]
Timestep: 28, Current state: 2
[0.7533412707490644, 0.24665872925093563]
[0.5, 0.5]
Timestep: 29, Current state: 2
[0.7602253668491552, 0.2397746331508448]
[0.5, 0.5]
Timestep: 30, Current state: 2
[0.8547778992183666, 0.1452221007816335]
[0.5, 0.5]
Timestep: 31, Current state: 0
[0.7665311710246406, 0.23346882897535934]
[0.5, 0.5]
Timestep: 32, Current state: 2
[0.7099646104834832, 0.2900353895165167]
[0.5, 0.5]
Timestep: 33, Current state: 2
[0.33633944443120306, 0.6636605555687969]
[0.5, 0.5]
Timestep: 34, Current state: 4
[0.723425575278127, 0.27657442472187294]
[0.5, 0.5]
Timestep: 35, Current state: 2
[0.7601906595793536, 0.23980934042064628]
[0.5, 0.5]
Timestep: 36, Current state: 2
[0.7653242770501076, 0.23467572294989242]
[0.5, 0.5]
Timestep: 37, Current state: 2
[0.776953040560735, 0.22304695943926497]
[0.5, 0.5]
Timestep: 38, Current state: 2
[0.853692397499617, 0.1463076025003831]
[0.5, 0.5]
Timestep: 39, Current state: 0
[0.7651773989003244, 0.23482260109967568]
[0.5, 0.5]
Timestep: 40, Current state: 2
[0.7710945387313474, 0.22890546126865274]
[0.5, 0.5]
Timestep: 41, Current state: 2
[0.7706083638635887, 0.22939163613641148]
[0.5, 0.5]
Timestep: 42, Current state: 2
[0.7536460924733859, 0.24635390752661426]
