Timestep: 0, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 1, Current state: 4
[0.75, 0.25]
[0.5, 0.5]
Timestep: 2, Current state: 2
[0.8, 0.2]
[0.5, 0.5]
Timestep: 3, Current state: 2
[0.6, 0.4]
[0.5, 0.5]
Timestep: 4, Current state: 0
[0.6, 0.4]
[0.5, 0.5]
Timestep: 5, Current state: 4
[0.875, 0.125]
[0.5, 0.5]
Timestep: 6, Current state: 2
[0.5714285714285714, 0.42857142857142855]
[0.5, 0.5]
Timestep: 7, Current state: 0
[0.9, 0.1]
[0.5, 0.5]
Timestep: 8, Current state: 2
[0.9090909090909091, 0.09090909090909091]
[0.5, 0.5]
Timestep: 9, Current state: 2
[0.9166666666666666, 0.08333333333333333]
[0.5, 0.5]
Timestep: 10, Current state: 2
[0.9230769230769231, 0.07692307692307693]
[0.5, 0.5]
Timestep: 11, Current state: 2
[0.75, 0.25]
[0.5, 0.5]
Timestep: 12, Current state: 0
[0.9333333333333333, 0.06666666666666667]
[0.5, 0.5]
Timestep: 13, Current state: 2
[0.7857142857142857, 0.21428571428571427]
[0.5, 0.5]
Timestep: 14, Current state: 0
[0.9411764705882353, 0.058823529411764705]
[0.5, 0.5]
Timestep: 15, Current state: 2
[0.5, 0.5]
[0.5, 0.5]
Timestep: 16, Current state: 5
[0.8888888888888888, 0.1111111111111111]
[0.5, 0.5]
Timestep: 17, Current state: 2
[0.7647058823529411, 0.23529411764705882]
[0.5, 0.5]
Timestep: 18, Current state: 0
[0.6153846153846154, 0.38461538461538464]
[0.5, 0.5]
Timestep: 19, Current state: 4
[0.7222222222222222, 0.2777777777777778]
[0.5, 0.5]
Timestep: 20, Current state: 0
[0.7368421052631579, 0.2631578947368421]
[0.5, 0.5]
Timestep: 21, Current state: 0
[0.6153846153846154, 0.38461538461538464]
[0.5, 0.5]
Timestep: 22, Current state: 4
[0.7, 0.3]
[0.5, 0.5]
Timestep: 23, Current state: 0
[0.7142857142857143, 0.2857142857142857]
[0.5, 0.5]
Timestep: 24, Current state: 0
[0.9230769230769231, 0.07692307692307693]
[0.5, 0.5]
Timestep: 25, Current state: 2
[0.7391304347826086, 0.2608695652173913]
[0.5, 0.5]
Timestep: 26, Current state: 0
[0.75, 0.25]
[0.5, 0.5]
Timestep: 27, Current state: 0
[0.9310344827586207, 0.06896551724137931]
[0.5, 0.5]
Timestep: 28, Current state: 2
[0.9333333333333333, 0.06666666666666667]
[0.5, 0.5]
Timestep: 29, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 30, Current state: 5
[0.9032258064516129, 0.0967741935483871]
[0.5, 0.5]
Timestep: 31, Current state: 2
[0.90625, 0.09375]
[0.5, 0.5]
Timestep: 32, Current state: 2
[0.9090909090909091, 0.09090909090909091]
[0.5, 0.5]
Timestep: 33, Current state: 2
[0.5789473684210527, 0.42105263157894735]
[0.5, 0.5]
Timestep: 34, Current state: 4
[0.9142857142857143, 0.08571428571428572]
[0.5, 0.5]
Timestep: 35, Current state: 2
[0.9166666666666666, 0.08333333333333333]
[0.5, 0.5]
Timestep: 36, Current state: 2
[0.918918918918919, 0.08108108108108109]
[0.5, 0.5]
Timestep: 37, Current state: 2
[0.45, 0.55]
[0.5, 0.5]
Timestep: 38, Current state: 1
[0.5454545454545454, 0.45454545454545453]
[0.5, 0.5]
Timestep: 39, Current state: 4
[0.8974358974358975, 0.10256410256410256]
[0.5, 0.5]
Timestep: 40, Current state: 2
[0.9, 0.1]
[0.5, 0.5]
Timestep: 41, Current state: 2
[0.9024390243902439, 0.0975609756097561]
[0.5, 0.5]
Timestep: 42, Current state: 2
[0.9047619047619048, 0.09523809523809523]
[0.5, 0.5]
Timestep: 43, Current state: 2
[0.9069767441860465, 0.09302325581395349]
[0.5, 0.5]
Timestep: 44, Current state: 2
[0.48148148148148145, 0.5185185185185185]
[0.5, 0.5]
