Timestep: 0, Current state: 5
[0.9, 0.1]
[0.9, 0.1]
Timestep: 1, Current state: 2
[0.9068208585570673, 0.09317914144293275]
[0.9, 0.1]
Timestep: 2, Current state: 2
[0.908409964109968, 0.09159003589003199]
[0.7667818705535788, 0.23321812944642117]
Timestep: 3, Current state: 0
[0.9145878936149983, 0.08541210638500175]
[0.7393167759062608, 0.26068322409373923]
Timestep: 4, Current state: 2
[0.9186525743493031, 0.08134742565069691]
[0.7393167759062608, 0.26068322409373923]
Timestep: 5, Current state: 2
[0.7662360955414257, 0.2337639044585744]
[0.8038141967162814, 0.1961858032837186]
Timestep: 6, Current state: 4
[0.9281210895855088, 0.07187891041449129]
[0.7393167759062608, 0.26068322409373923]
Timestep: 7, Current state: 2
[0.9311596855275949, 0.06884031447240516]
[0.7393167759062608, 0.26068322409373923]
Timestep: 8, Current state: 2
[0.8645172650085616, 0.13548273499143837]
[0.7667818705535788, 0.23321812944642117]
Timestep: 9, Current state: 0
[0.9373718231989971, 0.06262817680100283]
[0.7393167759062608, 0.26068322409373923]
Timestep: 10, Current state: 2
[0.9399529779848453, 0.06004702201515472]
[0.7393167759062608, 0.26068322409373923]
Timestep: 11, Current state: 2
[0.9421220157166221, 0.05787798428337784]
[0.7393167759062608, 0.26068322409373923]
Timestep: 12, Current state: 2
[0.8915534621268949, 0.10844653787310511]
[0.7667818705535788, 0.23321812944642117]
Timestep: 13, Current state: 0
[0.9461920379166928, 0.053807962083307175]
[0.7393167759062608, 0.26068322409373923]
Timestep: 14, Current state: 2
[0.9006911809658867, 0.09930881903411312]
[0.7667818705535788, 0.23321812944642117]
Timestep: 15, Current state: 0
[0.67925993057938, 0.32074006942062017]
[0.8038141967162814, 0.1961858032837186]
Timestep: 16, Current state: 4
[0.8530218111387828, 0.1469781888612171]
[0.7667818705535788, 0.23321812944642117]
Timestep: 17, Current state: 0
[0.954052228097794, 0.045947771902206]
[0.7393167759062608, 0.26068322409373923]
Timestep: 18, Current state: 2
[0.8651474307926147, 0.13485256920738528]
[0.7667818705535788, 0.23321812944642117]
Timestep: 19, Current state: 0
[0.9548114903286105, 0.04518850967138956]
[0.7393167759062608, 0.26068322409373923]
Timestep: 20, Current state: 2
[0.9557873886694953, 0.04421261133050465]
[0.7393167759062608, 0.26068322409373923]
Timestep: 21, Current state: 2
[0.956989247314457, 0.043010752685543]
[0.7393167759062608, 0.26068322409373923]
Timestep: 22, Current state: 2
[0.9090909090909091, 0.09090909090909091]
[0.9, 0.1]
Timestep: 23, Current state: 5
[0.6468245301244188, 0.3531754698755812]
[0.8038141967162814, 0.1961858032837186]
Timestep: 24, Current state: 4
[0.8431320410819952, 0.1568679589180048]
[0.7667818705535788, 0.23321812944642117]
Timestep: 25, Current state: 0
[0.9204595546016537, 0.0795404453983463]
[0.7393167759062608, 0.26068322409373923]
Timestep: 26, Current state: 2
[0.9229994781986616, 0.07700052180133841]
[0.7393167759062608, 0.26068322409373923]
Timestep: 27, Current state: 2
[0.925187808558867, 0.07481219144113312]
[0.7393167759062608, 0.26068322409373923]
Timestep: 28, Current state: 2
[0.9276927344244671, 0.07230726557553294]
[0.7393167759062608, 0.26068322409373923]
Timestep: 29, Current state: 2
[0.9290672972493456, 0.07093270275065443]
[0.7393167759062608, 0.26068322409373923]
Timestep: 30, Current state: 2
[0.8743754915846275, 0.12562450841537257]
[0.7667818705535788, 0.23321812944642117]
Timestep: 31, Current state: 0
[0.9323899136640106, 0.06761008633598944]
[0.7393167759062608, 0.26068322409373923]
