Timestep: 0, Current state: 5
[0.5, 0.5]
[0.5, 0.5]
Timestep: 1, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 2, Current state: 2
[0.5001792193396997, 0.4998207806603003]
[0.5, 0.5]
Timestep: 3, Current state: 4
[0.4994720307559048, 0.5005279692440952]
[0.5, 0.5]
Timestep: 4, Current state: 0
[0.5001792193396997, 0.4998207806603003]
[0.5, 0.5]
Timestep: 5, Current state: 4
[0.39949325641900385, 0.6005067435809961]
[0.5, 0.5]
Timestep: 6, Current state: 0
[0.4998449168504381, 0.5001550831495619]
[0.5, 0.5]
Timestep: 7, Current state: 0
[0.5714108129961678, 0.42858918700383214]
[0.5, 0.5]
Timestep: 8, Current state: 0
[0.6715383281157553, 0.3284616718842447]
[0.5, 0.5]
Timestep: 9, Current state: 2
[0.7397393442468791, 0.26026065575312085]
[0.5, 0.5]
Timestep: 10, Current state: 2
[0.5001562008382286, 0.49984379916177135]
[0.5, 0.5]
Timestep: 11, Current state: 4
[0.7219243249752677, 0.27807567502473224]
[0.5, 0.5]
Timestep: 12, Current state: 2
[0.6360743569449229, 0.3639256430550771]
[0.5, 0.5]
Timestep: 13, Current state: 0
[0.7724107364643444, 0.22758926353565562]
[0.5, 0.5]
Timestep: 14, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 15, Current state: 5
[0.6146226844152356, 0.3853773155847645]
[0.5, 0.5]
Timestep: 16, Current state: 0
[0.5984517829841645, 0.40154821701583565]
[0.5, 0.5]
Timestep: 17, Current state: 2
[0.665631281811016, 0.334368718188984]
[0.5, 0.5]
Timestep: 18, Current state: 2
[0.7036864834706533, 0.2963135165293466]
[0.5, 0.5]
Timestep: 19, Current state: 2
[0.6935885996605038, 0.3064114003394962]
[0.5, 0.5]
Timestep: 20, Current state: 2
[0.7321401277522421, 0.26785987224775787]
[0.5, 0.5]
Timestep: 21, Current state: 2
[0.752261647275955, 0.24773835272404499]
[0.5, 0.5]
Timestep: 22, Current state: 2
[0.7509252785164283, 0.24907472148357165]
[0.5, 0.5]
Timestep: 23, Current state: 0
[0.7630814109146082, 0.2369185890853918]
[0.5, 0.5]
Timestep: 24, Current state: 0
[0.7740914307961794, 0.2259085692038207]
[0.5, 0.5]
Timestep: 25, Current state: 0
[0.7422449705957981, 0.2577550294042019]
[0.5, 0.5]
Timestep: 26, Current state: 2
[0.6739539519960401, 0.3260460480039599]
[0.5, 0.5]
Timestep: 27, Current state: 2
[0.7202458362927107, 0.2797541637072893]
[0.5, 0.5]
Timestep: 28, Current state: 2
[0.8095551965207386, 0.19044480347926138]
[0.5, 0.5]
Timestep: 29, Current state: 0
[0.41194166953064226, 0.5880583304693576]
[0.5, 0.5]
Timestep: 30, Current state: 4
[0.7776547316895971, 0.22234526831040294]
[0.5, 0.5]
Timestep: 31, Current state: 0
[0.6305873489477521, 0.36941265105224774]
[0.5, 0.5]
Timestep: 32, Current state: 1
[0.5515129194573885, 0.44848708054261144]
[0.5, 0.5]
Timestep: 33, Current state: 2
[0.6342757452680591, 0.3657242547319409]
[0.5, 0.5]
Timestep: 34, Current state: 2
[0.8076859184933126, 0.1923140815066874]
[0.5, 0.5]
Timestep: 35, Current state: 0
[0.7284868819871309, 0.27151311801286915]
[0.5, 0.5]
Timestep: 36, Current state: 2
[0.8198973706723572, 0.18010262932764282]
[0.5, 0.5]
Timestep: 37, Current state: 0
[0.8255143365990931, 0.17448566340090685]
[0.5, 0.5]
Timestep: 38, Current state: 0
[0.7473426431857896, 0.2526573568142106]
[0.5, 0.5]
Timestep: 39, Current state: 2
[0.7395130350552961, 0.26048696494470397]
[0.5, 0.5]
Timestep: 40, Current state: 2
[0.7173701042891797, 0.2826298957108203]
[0.5, 0.5]
Timestep: 41, Current state: 2
[0.7551009752813397, 0.24489902471866024]
[0.5, 0.5]
Timestep: 42, Current state: 2
[0.8498368176551713, 0.15016318234482878]
[0.5, 0.5]
Timestep: 43, Current state: 0
[0.761923806409045, 0.23807619359095494]
[0.5, 0.5]
Timestep: 44, Current state: 2
[0.4404885554232974, 0.5595114445767025]
[0.5, 0.5]
Timestep: 45, Current state: 4
[0.7292031571510251, 0.2707968428489749]
[0.5, 0.5]
Timestep: 46, Current state: 2
[0.72294474463499, 0.27705525536500997]
[0.5, 0.5]
Timestep: 47, Current state: 2
[0.7475668434092172, 0.25243315659078275]
[0.5, 0.5]
Timestep: 48, Current state: 2
[0.7475360718553566, 0.2524639281446433]
[0.5, 0.5]
Timestep: 49, Current state: 2
[0.8456495463580078, 0.15435045364199212]
[0.5, 0.5]
Timestep: 50, Current state: 0
[0.8498371721237612, 0.15016282787623877]
[0.5, 0.5]
Timestep: 51, Current state: 0
[0.8535298047672384, 0.1464701952327616]
[0.5, 0.5]
Timestep: 52, Current state: 0
[0.7671291250585031, 0.23287087494149694]
[0.5, 0.5]
Timestep: 53, Current state: 2
[0.6940675287807997, 0.30593247121920025]
[0.5, 0.5]
Timestep: 54, Current state: 2
[0.4196752942375387, 0.5803247057624613]
[0.5, 0.5]
Timestep: 55, Current state: 4
[0.8392243693677697, 0.16077563063223033]
[0.5, 0.5]
Timestep: 56, Current state: 0
[0.7200808341284566, 0.2799191658715435]
[0.5, 0.5]
Timestep: 57, Current state: 2
[0.8464994934292153, 0.15350050657078473]
[0.5, 0.5]
Timestep: 58, Current state: 0
[0.7446533339460326, 0.2553466660539674]
[0.5, 0.5]
Timestep: 59, Current state: 2
[0.45536725857216875, 0.5446327414278312]
[0.5, 0.5]
Timestep: 60, Current state: 4
[0.7449686693889301, 0.25503133061106986]
[0.5, 0.5]
Timestep: 61, Current state: 2
[0.8329427590312787, 0.16705724096872138]
[0.5, 0.5]
Timestep: 62, Current state: 0
[0.7580336264580406, 0.24196637354195938]
[0.5, 0.5]
Timestep: 63, Current state: 2
[0.7294017969055622, 0.27059820309443783]
[0.5, 0.5]
Timestep: 64, Current state: 2
[0.47322168623889604, 0.526778313761104]
[0.5, 0.5]
Timestep: 65, Current state: 4
[0.8208551967095555, 0.17914480329044435]
[0.5, 0.5]
Timestep: 66, Current state: 0
[0.8248268290750749, 0.175173170924925]
[0.5, 0.5]
Timestep: 67, Current state: 0
[0.7138605769905328, 0.2861394230094671]
[0.5, 0.5]
Timestep: 68, Current state: 2
[0.8321089010848222, 0.1678910989151778]
[0.5, 0.5]
Timestep: 69, Current state: 0
[0.7025205153265277, 0.2974794846734723]
[0.5, 0.5]
Timestep: 70, Current state: 2
[0.8391707105887469, 0.16082928941125296]
[0.5, 0.5]
Timestep: 71, Current state: 0
[0.7526190735160971, 0.24738092648390278]
[0.5, 0.5]
Timestep: 72, Current state: 2
[0.7698015667274632, 0.23019843327253672]
[0.5, 0.5]
Timestep: 73, Current state: 2
[0.8487551322560745, 0.1512448677439256]
[0.5, 0.5]
Timestep: 74, Current state: 0
[0.8518333280066852, 0.14816667199331476]
[0.5, 0.5]
Timestep: 75, Current state: 0
[0.8546654221309814, 0.14533457786901852]
[0.5, 0.5]
Timestep: 76, Current state: 0
[0.8573954753527255, 0.14260452464727436]
[0.5, 0.5]
Timestep: 77, Current state: 0
[0.8600796786918363, 0.1399203213081636]
[0.5, 0.5]
Timestep: 78, Current state: 0
[0.7363334030212867, 0.26366659697871336]
[0.5, 0.5]
Timestep: 79, Current state: 2
[0.8657081151723051, 0.134291884827695]
[0.5, 0.5]
Timestep: 80, Current state: 0
[0.6913814057246577, 0.3086185942753424]
[0.5, 0.5]
Timestep: 81, Current state: 2
[0.8703269849064665, 0.12967301509353343]
[0.5, 0.5]
Timestep: 82, Current state: 0
[0.6863005325904891, 0.313699467409511]
[0.5, 0.5]
Timestep: 83, Current state: 2
[0.7147478336126145, 0.28525216638738554]
[0.5, 0.5]
Timestep: 84, Current state: 2
[0.7586842538635092, 0.24131574613649068]
[0.5, 0.5]
