Timestep: 0, Current state: 5
[0.5, 0.5]
[0.5, 0.5]
Timestep: 1, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 2, Current state: 2
[0.7487732376989534, 0.25122676230104657]
[0.5, 0.5]
Timestep: 3, Current state: 0
[0.7350995060516207, 0.26490049394837933]
[0.5, 0.5]
Timestep: 4, Current state: 2
[0.8319377837322165, 0.16806221626778353]
[0.5, 0.5]
Timestep: 5, Current state: 0
[0.7143105813175245, 0.2856894186824755]
[0.5, 0.5]
Timestep: 6, Current state: 2
[0.749517618664874, 0.25048238133512607]
[0.5, 0.5]
Timestep: 7, Current state: 2
[0.7562787600275753, 0.24372123997242473]
[0.5, 0.5]
Timestep: 8, Current state: 2
[0.5016507291629407, 0.4983492708370592]
[0.5, 0.5]
Timestep: 9, Current state: 4
[0.7392065605719227, 0.26079343942807726]
[0.5, 0.5]
Timestep: 10, Current state: 2
[0.7496592178448416, 0.2503407821551585]
[0.5, 0.5]
Timestep: 11, Current state: 2
[0.8323885024478448, 0.1676114975521552]
[0.5, 0.5]
Timestep: 12, Current state: 0
[0.7265184682123962, 0.2734815317876038]
[0.5, 0.5]
Timestep: 13, Current state: 2
[0.6784114397980112, 0.3215885602019887]
[0.5, 0.5]
Timestep: 14, Current state: 2
[0.7267562067961119, 0.2732437932038881]
[0.5, 0.5]
Timestep: 15, Current state: 2
[0.7199659630580216, 0.28003403694197837]
[0.5, 0.5]
Timestep: 16, Current state: 2
[0.8818630803004411, 0.11813691969955886]
[0.5, 0.5]
Timestep: 17, Current state: 0
[0.7502889791342391, 0.2497110208657609]
[0.5, 0.5]
Timestep: 18, Current state: 2
[0.772909080209187, 0.22709091979081303]
[0.5, 0.5]
Timestep: 19, Current state: 2
[0.7564313538182238, 0.24356864618177618]
[0.5, 0.5]
Timestep: 20, Current state: 2
[0.7749327377993463, 0.22506726220065373]
[0.5, 0.5]
Timestep: 21, Current state: 2
[0.7923627504813078, 0.20763724951869217]
[0.5, 0.5]
Timestep: 22, Current state: 2
[0.3658006281747569, 0.6341993718252431]
[0.5, 0.5]
Timestep: 23, Current state: 4
[0.8037208708293961, 0.19627912917060386]
[0.5, 0.5]
Timestep: 24, Current state: 2
[0.7999662928793835, 0.20003370712061655]
[0.5, 0.5]
Timestep: 25, Current state: 2
[0.8796311021598052, 0.12036889784019482]
[0.5, 0.5]
Timestep: 26, Current state: 0
[0.8042555245456765, 0.1957444754543235]
[0.5, 0.5]
Timestep: 27, Current state: 2
[0.7424937978299208, 0.25750620217007925]
[0.5, 0.5]
Timestep: 28, Current state: 2
[0.8925905596600707, 0.10740944033992934]
[0.5, 0.5]
Timestep: 29, Current state: 0
[0.7513576116577841, 0.24864238834221572]
[0.5, 0.5]
Timestep: 30, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 31, Current state: 5
[0.5457367360908624, 0.4542632639091377]
[0.5, 0.5]
Timestep: 32, Current state: 2
[0.6491592758479802, 0.35084072415201983]
[0.5, 0.5]
Timestep: 33, Current state: 2
[0.6883237150763026, 0.31167628492369737]
[0.5, 0.5]
Timestep: 34, Current state: 2
[0.878488349350372, 0.12151165064962806]
[0.5, 0.5]
Timestep: 35, Current state: 0
[0.7243866809811345, 0.27561331901886554]
[0.5, 0.5]
Timestep: 36, Current state: 2
[0.885460549467329, 0.11453945053267091]
[0.5, 0.5]
Timestep: 37, Current state: 0
[0.8886553180007922, 0.11134468199920763]
[0.5, 0.5]
Timestep: 38, Current state: 0
[0.7904815539518112, 0.20951844604818878]
[0.5, 0.5]
Timestep: 39, Current state: 2
[0.8945424272894877, 0.10545757271051226]
[0.5, 0.5]
Timestep: 40, Current state: 0
[0.805405250952551, 0.19459474904744894]
[0.5, 0.5]
Timestep: 41, Current state: 2
[0.8120868662581324, 0.18791313374186752]
[0.5, 0.5]
Timestep: 42, Current state: 2
[0.8141527227604406, 0.18584727723955946]
[0.5, 0.5]
Timestep: 43, Current state: 2
[0.904628380876816, 0.09537161912318404]
[0.5, 0.5]
Timestep: 44, Current state: 0
[0.7147585511419968, 0.28524144885800323]
[0.5, 0.5]
Timestep: 45, Current state: 2
[0.7524805656121707, 0.2475194343878293]
[0.5, 0.5]
Timestep: 46, Current state: 2
[0.7773006142015008, 0.2226993857984992]
[0.5, 0.5]
Timestep: 47, Current state: 2
[0.7993106717236327, 0.20068932827636743]
[0.5, 0.5]
Timestep: 48, Current state: 2
[0.8152204047066489, 0.1847795952933512]
[0.5, 0.5]
Timestep: 49, Current state: 2
[0.8329565153717555, 0.1670434846282445]
[0.5, 0.5]
Timestep: 50, Current state: 2
[0.8473702787944956, 0.15262972120550442]
[0.5, 0.5]
Timestep: 51, Current state: 2
[0.8626517464923823, 0.1373482535076177]
[0.5, 0.5]
Timestep: 52, Current state: 2
[0.8767850772304955, 0.12321492276950441]
[0.5, 0.5]
Timestep: 53, Current state: 2
[0.6991779261985701, 0.30082207380142995]
[0.5, 0.5]
Timestep: 54, Current state: 5
[0.778928535729972, 0.22107146427002805]
[0.5, 0.5]
Timestep: 55, Current state: 2
[0.9055334453086494, 0.09446655469135051]
[0.5, 0.5]
Timestep: 56, Current state: 0
[0.9072898738717733, 0.0927101261282267]
[0.5, 0.5]
Timestep: 57, Current state: 0
[0.8079693957133697, 0.1920306042866303]
[0.5, 0.5]
Timestep: 58, Current state: 2
[0.9106133941345687, 0.08938660586543132]
[0.5, 0.5]
Timestep: 59, Current state: 0
[0.7566417028904486, 0.24335829710955134]
[0.5, 0.5]
Timestep: 60, Current state: 2
[0.7751611922284294, 0.22483880777157073]
[0.5, 0.5]
Timestep: 61, Current state: 2
[0.7555435143005725, 0.2444564856994275]
[0.5, 0.5]
Timestep: 62, Current state: 2
[0.7726977448453554, 0.22730225515464464]
[0.5, 0.5]
Timestep: 63, Current state: 2
[0.7977420863941543, 0.20225791360584564]
[0.5, 0.5]
Timestep: 64, Current state: 2
[0.7842016477635098, 0.21579835223649035]
[0.5, 0.5]
Timestep: 65, Current state: 2
[0.7950417095044778, 0.20495829049552208]
[0.5, 0.5]
Timestep: 66, Current state: 2
[0.35150261929452065, 0.6484973807054794]
[0.5, 0.5]
Timestep: 67, Current state: 4
[0.7488255386270726, 0.25117446137292737]
[0.5, 0.5]
Timestep: 68, Current state: 2
[0.7740523971508916, 0.22594760284910842]
[0.5, 0.5]
Timestep: 69, Current state: 2
[0.9089845193921909, 0.09101548060780894]
[0.5, 0.5]
Timestep: 70, Current state: 0
[0.7288210159415305, 0.2711789840584695]
[0.5, 0.5]
Timestep: 71, Current state: 2
[0.7286183777598904, 0.2713816222401097]
[0.5, 0.5]
Timestep: 72, Current state: 2
[0.1729137613687374, 0.8270862386312626]
[0.5, 0.5]
Timestep: 73, Current state: 1
[0.5020982712010619, 0.49790172879893796]
[0.5, 0.5]
Timestep: 74, Current state: 2
[0.634320934552856, 0.36567906544714396]
[0.5, 0.5]
Timestep: 75, Current state: 2
[0.6838881661480918, 0.3161118338519083]
[0.5, 0.5]
Timestep: 76, Current state: 2
[0.9177420015229778, 0.08225799847702214]
[0.5, 0.5]
Timestep: 77, Current state: 0
[0.7257751179956995, 0.2742248820043005]
[0.5, 0.5]
Timestep: 78, Current state: 2
[0.7237976030295026, 0.27620239697049737]
[0.5, 0.5]
Timestep: 79, Current state: 2
[0.7474292073155981, 0.2525707926844018]
[0.5, 0.5]
Timestep: 80, Current state: 2
[0.7749566228062638, 0.2250433771937363]
[0.5, 0.5]
Timestep: 81, Current state: 2
[0.7892195168634524, 0.21078048313654774]
[0.5, 0.5]
Timestep: 82, Current state: 2
[0.9240070481836525, 0.07599295181634745]
[0.5, 0.5]
Timestep: 83, Current state: 0
[0.8194920083102, 0.1805079916898001]
[0.5, 0.5]
Timestep: 84, Current state: 2
[0.7868361068009232, 0.21316389319907678]
[0.5, 0.5]
