Timestep: 0, Current state: 2
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 1, Current state: 2
[0.7493489178786005, 0.2506510821213995]
[0.5, 0.5]
Timestep: 2, Current state: 0
[0.6790086571657034, 0.3209913428342967]
[0.5, 0.5]
Timestep: 3, Current state: 2
[0.6739770017703067, 0.3260229982296933]
[0.5, 0.5]
Timestep: 4, Current state: 2
[0.8410227636597611, 0.15897723634023883]
[0.5, 0.5]
Timestep: 5, Current state: 0
[0.859396618126748, 0.14060338187325208]
[0.5, 0.5]
Timestep: 6, Current state: 0
[0.6693545479378602, 0.3306454520621398]
[0.5, 0.5]
Timestep: 7, Current state: 2
[0.6842204522214458, 0.31577954777855427]
[0.5, 0.5]
Timestep: 8, Current state: 2
[0.6822194135638088, 0.3177805864361913]
[0.5, 0.5]
Timestep: 9, Current state: 2
[0.4464982055063787, 0.5535017944936212]
[0.5, 0.5]
Timestep: 10, Current state: 4
[0.6748395349711157, 0.32516046502888435]
[0.5, 0.5]
Timestep: 11, Current state: 2
[0.6814443144250832, 0.3185556855749168]
[0.5, 0.5]
Timestep: 12, Current state: 2
[0.6861951105373006, 0.3138048894626993]
[0.5, 0.5]
Timestep: 13, Current state: 2
[0.6797902465617874, 0.32020975343821256]
[0.5, 0.5]
Timestep: 14, Current state: 2
[0.3849984705668377, 0.6150015294331623]
[0.5, 0.5]
Timestep: 15, Current state: 4
[0.6793828481839083, 0.3206171518160917]
[0.5, 0.5]
Timestep: 16, Current state: 2
[0.6855608465341122, 0.3144391534658878]
[0.5, 0.5]
Timestep: 17, Current state: 2
[0.7889673699967229, 0.21103263000327702]
[0.5, 0.5]
Timestep: 18, Current state: 0
[0.803650739447329, 0.19634926055267096]
[0.5, 0.5]
Timestep: 19, Current state: 0
[0.6875261944279281, 0.3124738055720719]
[0.5, 0.5]
Timestep: 20, Current state: 2
[0.6881325136369632, 0.31186748636303685]
[0.5, 0.5]
Timestep: 21, Current state: 2
[0.6791628220588376, 0.32083717794116234]
[0.5, 0.5]
Timestep: 22, Current state: 2
[0.39226639799817176, 0.6077336020018284]
[0.5, 0.5]
Timestep: 23, Current state: 4
[0.775706962894531, 0.22429303710546902]
[0.5, 0.5]
Timestep: 24, Current state: 0
[0.6671320044791359, 0.33286799552086405]
[0.5, 0.5]
Timestep: 25, Current state: 2
[0.8000642296025609, 0.19993577039743923]
[0.5, 0.5]
Timestep: 26, Current state: 0
[0.6912305805625919, 0.3087694194374081]
[0.5, 0.5]
Timestep: 27, Current state: 2
[0.4615098764481774, 0.5384901235518226]
[0.5, 0.5]
Timestep: 28, Current state: 4
[0.7530747682476161, 0.2469252317523839]
[0.5, 0.5]
Timestep: 29, Current state: 0
[0.4615098764481774, 0.5384901235518226]
[0.5, 0.5]
Timestep: 30, Current state: 4
[0.7014602301360464, 0.2985397698639536]
[0.5, 0.5]
Timestep: 31, Current state: 0
[0.676641261239296, 0.323358738760704]
[0.5, 0.5]
Timestep: 32, Current state: 2
[0.6929264447232273, 0.30707355527677266]
[0.5, 0.5]
Timestep: 33, Current state: 2
[0.7507870002611858, 0.24921299973881422]
[0.5, 0.5]
Timestep: 34, Current state: 0
[0.6854097437217929, 0.3145902562782071]
[0.5, 0.5]
Timestep: 35, Current state: 2
[0.6677495875866462, 0.3322504124133539]
[0.5, 0.5]
Timestep: 36, Current state: 2
[0.6681176512211747, 0.33188234877882533]
[0.5, 0.5]
Timestep: 37, Current state: 2
[0.6905440773803846, 0.30945592261961546]
[0.5, 0.5]
Timestep: 38, Current state: 2
[0.6739166165410763, 0.32608338345892374]
[0.5, 0.5]
Timestep: 39, Current state: 2
[0.6798173411251467, 0.32018265887485337]
[0.5, 0.5]
Timestep: 40, Current state: 2
[0.8326569744171234, 0.1673430255828766]
[0.5, 0.5]
Timestep: 41, Current state: 0
[0.8400061229578676, 0.15999387704213242]
[0.5, 0.5]
Timestep: 42, Current state: 0
