Timestep: 0, Current state: 4
[0.6666666666666666, 0.3333333333333333]
[0.5, 0.5]
Timestep: 1, Current state: 2
[0.7390233863569861, 0.26097661364301394]
[0.5, 0.5]
Timestep: 2, Current state: 2
[0.7302508654415211, 0.26974913455847893]
[0.5, 0.5]
Timestep: 3, Current state: 0
[0.7055934840340143, 0.29440651596598566]
[0.5, 0.5]
Timestep: 4, Current state: 2
[0.7410213514015661, 0.25897864859843395]
[0.5, 0.5]
Timestep: 5, Current state: 2
[0.7502818504479553, 0.24971814955204472]
[0.5, 0.5]
Timestep: 6, Current state: 0
[0.7509325035617541, 0.2490674964382459]
[0.5, 0.5]
Timestep: 7, Current state: 2
[0.750117184671213, 0.24988281532878692]
[0.5, 0.5]
Timestep: 8, Current state: 2
[0.7711649149056145, 0.22883508509438563]
[0.5, 0.5]
Timestep: 9, Current state: 0
[0.6836112355445383, 0.31638876445546166]
[0.5, 0.5]
Timestep: 10, Current state: 2
[0.7389906864128637, 0.26100931358713625]
[0.5, 0.5]
Timestep: 11, Current state: 2
[0.7496299250127982, 0.25037007498720176]
[0.5, 0.5]
Timestep: 12, Current state: 2
[0.47910776207912736, 0.5208922379208727]
[0.5, 0.5]
Timestep: 13, Current state: 4
[0.7542089893456388, 0.24579101065436115]
[0.5, 0.5]
Timestep: 14, Current state: 2
[0.7672977915563014, 0.23270220844369854]
[0.5, 0.5]
Timestep: 15, Current state: 2
[0.7593971358618686, 0.2406028641381314]
[0.5, 0.5]
Timestep: 16, Current state: 2
[0.4778879868487776, 0.5221120131512224]
[0.5, 0.5]
Timestep: 17, Current state: 4
[0.7721495586009158, 0.2278504413990842]
[0.5, 0.5]
Timestep: 18, Current state: 2
[0.5459912765909817, 0.4540087234090183]
[0.5, 0.5]
Timestep: 19, Current state: 4
[0.5459912765909817, 0.4540087234090183]
[0.5, 0.5]
Timestep: 20, Current state: 4
[0.36370997748553235, 0.6362900225144676]
[0.5, 0.5]
Timestep: 21, Current state: 0
[0.6830681353147047, 0.31693186468529533]
[0.5, 0.5]
Timestep: 22, Current state: 2
[0.7162180094844054, 0.28378199051559444]
[0.5, 0.5]
Timestep: 23, Current state: 0
[0.7438603440157026, 0.25613965598429755]
[0.5, 0.5]
Timestep: 24, Current state: 0
[0.7444286459172004, 0.2555713540827997]
[0.5, 0.5]
Timestep: 25, Current state: 2
[0.7687072109077521, 0.23129278909224787]
[0.5, 0.5]
Timestep: 26, Current state: 2
[0.7061468531183263, 0.29385314688167374]
[0.5, 0.5]
Timestep: 27, Current state: 2
[0.7325127684941778, 0.26748723150582226]
[0.5, 0.5]
Timestep: 28, Current state: 2
[0.6947171717676152, 0.3052828282323849]
[0.5, 0.5]
Timestep: 29, Current state: 2
[0.5591591473250636, 0.44084085267493645]
[0.5, 0.5]
Timestep: 30, Current state: 4
[0.46419283380219273, 0.5358071661978072]
[0.5, 0.5]
Timestep: 31, Current state: 0
[0.7633905215824819, 0.23660947841751814]
[0.5, 0.5]
Timestep: 32, Current state: 2
[0.7754273512682159, 0.22457264873178412]
[0.5, 0.5]
Timestep: 33, Current state: 2
[0.7218445051390342, 0.27815549486096575]
[0.5, 0.5]
Timestep: 34, Current state: 2
[0.7406900173009233, 0.25930998269907674]
[0.5, 0.5]
Timestep: 35, Current state: 2
[0.44995092161619316, 0.5500490783838068]
[0.5, 0.5]
Timestep: 36, Current state: 4
[0.5368891736256779, 0.46311082637432227]
[0.5, 0.5]
Timestep: 37, Current state: 1
[0.39786162008188736, 0.6021383799181127]
[0.5, 0.5]
Timestep: 38, Current state: 2
[0.5489857977423311, 0.45101420225766903]
[0.5, 0.5]
Timestep: 39, Current state: 2
[0.637164690936029, 0.362835309063971]
[0.5, 0.5]
Timestep: 40, Current state: 2
[0.52230035527948, 0.47769964472051996]
[0.5, 0.5]
Timestep: 41, Current state: 4
[0.7303077239450668, 0.2696922760549332]
[0.5, 0.5]
Timestep: 42, Current state: 2
